#,Main Feature or Service or Module,Sub-Feature,Details Captured,Description,Status,Notes / Test result
,,Estate & legacy,"Will, beneficiaries, POA, healthcare directive, guardian, documents",Saved checklist + progress %,Live,
,,Roth conversion,"Pre-tax balance, other income, target bracket → amount + tax",Fill-a-bracket strategy,Live,
,,Tax organizer,"Income by source, contributions, accounts, document checklist",In-app review live; PDF export needs the native build,Native build,
,,Emergency stress test,"Cash + surprise expense → can-cover, job-loss runway, fund target",Presets: medical / car / job-loss,Live,
10,Guidance & Engagement,Insights,"Ranked to-dos (emergency fund, 401k room, concentration, savings rate)",,Live,
,,Sharpen your plan,Checklist of skipped setup steps,Completeness %,Live,
,,Rewards,"XP, badges, daily streak",,Live,
,,Tips,Educational content + AI expense tips,,Live,
,,Job safety check,Income-stability questions → safety plan,,Live,
11,Settings & System,Currency,USD / EUR / GBP / INR / CAD / AUD …,Reformats every amount app-wide,Live,
,,Text size,Default / Large / Larger,App-wide text scaling,Live,
,,Display mode,Simple vs Advisor,Hide or show technical detail,Live,
,,Frequency,Budget + pay frequency,,Live,
,,Data & security,"Encrypted on-device storage, cloud sync, email recovery",,Live,
,,Receipt OCR scan,Snap a receipt → expense,Runs in the installed app build,Native build,
,,Push notifications,Bill / check-in reminders,Runs in the installed app build,Native build,
